subset_name,avg_target_token_repetition_rate,p50_target_token_repetition_rate,p90_target_token_repetition_rate,p99_target_token_repetition_rate,p25_target_token_repetition_rate,p10_target_token_repetition_rate,p5_target_token_repetition_rate
templated_urdu_news_category_train_sample,0.5409424794813164,0.5578231292517006,0.6560878373962485,0.7367354060913706,0.4872727272727273,0.3830694305694306,0.3183280557766933
templated_urdu_news_gen_train_sample,0.9231128911328996,0.9259259259259259,0.96875,0.9743589743589743,0.9028324154209284,0.875,0.8571428571428571
templated_urdu_news_headline_train_sample,0.5383037474735204,0.531055900621118,0.7030128545091802,0.786539750512009,0.4613487486902411,0.3904945452042537,0.3270221822334498
templated_wiki_split_train_sample,0.861008942196735,0.8620689655172413,0.9535353535353537,1.0,0.8157894736842105,0.768186638388123,0.7441400304414003
templated_xcsqa_val_sample,0.8520014914605903,0.8627450980392157,0.8949468085106383,0.9086106346483704,0.8266237251744498,0.7912935323383085,0.7843137254901961
templated_xlel_wd_train_sample,0.8278722362801169,0.8333333333333334,0.9900000000000002,1.0,0.7457845596432553,0.6682730923694779,0.6487073170731708
templated_xwikis_train_sample,0.44662940677257074,0.46252927400468385,0.5532612315221012,0.5975785162843466,0.3941730651467332,0.32381454585455544,0.2683163044536947
translated_adversarial_qa_train_sample,0.8630024888010275,0.8956778606965174,0.953156146179402,0.9758246225319396,0.8447318007662835,0.7615610328638498,0.6187426556991775
translated_cnn_dailymail_train_sample,0.48507014291075284,0.5135602450646699,0.6058938003892133,0.6682300007626021,0.43505019232573416,0.3373572716346154,0.21233393641767898
translated_dolly_train_sample,0.8203594114264785,0.8947368421052632,1.0,1.0,0.70625,0.5053101573440976,0.4002861721611722
translated_flan_coqa_train_sample,0.4492088363058352,0.4770481564136034,0.5610145651269247,0.6327855094091633,0.40842840367943767,0.24544535019245484,0.2063566067158045
translated_flan_cot_train_sample,0.7448684596753191,0.7619047619047619,0.897857142857143,1.0,0.6883534136546184,0.590387481371088,0.4841883145557083
translated_flan_gem_wiki_train_sample,0.5108825251105308,0.49792556436851737,0.7900864197530864,0.905878537735849,0.39081757607738177,0.2670071358612005,0.20051001821493625
translated_flan_lambada_train_sample,0.7480780529883362,0.775686136523575,0.8852173913043478,0.9592401960784314,0.7032585470085471,0.5628267045454546,0.47368421052631576
translated_flan_qa_train_sample,0.6754889724678925,0.703512396694215,0.8457559681697613,0.8936170212765957,0.5830223880597015,0.4849384938493849,0.4291005291005291
translated_hotpotqa_train_sample,0.8766257621912983,0.9230769230769231,1.0,1.0,0.8281593406593407,0.7243356643356643,0.6249627421758569
translated_joke_explaination_train_sample,0.8552739423580702,0.8888888888888888,0.9620740740740741,1.0,0.8212121212121212,0.7254679802955665,0.615610599078341
translated_mintaka_train_sample,0.9683228356921187,1.0,1.0,1.0,0.9565217391304348,0.9185897435897435,0.893139097744361
translated_mlqa_val_sample,0.6215695710430524,0.6371473354231976,0.7830066693888663,0.8719318181818182,0.550310865649617,0.4485691489361702,0.3570522425332135
translated_nqopen_train_sample,0.90779199204969,0.9375,1.0,1.0,0.8888888888888888,0.8184873949579832,0.723575712143928
translated_paws_train_sample,0.56560581006842,0.5720046082949308,0.6736842105263158,0.75570987654321,0.5136994792958096,0.4519008389388557,0.41473160621761657
translated_piqa_train_sample,0.6242619614908184,0.6335680751173709,0.8,0.8909377344336085,0.5260499734183944,0.4255981908374672,0.3495748103884164
translated_soda_train_sample,0.9253506319328225,0.95,1.0,1.0,0.9,0.826536731634183,0.763003663003663
translated_wiki_split_train_sample,0.8756123176969655,0.9159604519774012,1.0,1.0,0.8385910815939279,0.7693181818181819,0.6446329113924051
translated_wikiqa_train_sample,0.7891424624864102,0.8119103773584906,0.9085858585858586,0.9552766798418972,0.739375,0.6411067193675889,0.5707575757575758
translated_xlel_wd_train_sample,0.7957684673984803,0.8098192130450195,0.965952380952381,1.0,0.708173076923077,0.6224679487179487,0.5513709677419355
